Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A10060_001,SE_A10060_002,SE_A10060_003
"060372190203","15000US060372190203","Block Group 3, Census Tract 2190.20, Los Angeles County, California","Block Group 3, Census Tract 2190.20, Los Angeles County, California","ca","150","00","ACSSF","0015882",,,,,"06","037",,,,"219020","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347,125,222
"060372314001","15000US060372314001","Block Group 1, Census Tract 2314, Los Angeles County, California","Block Group 1, Census Tract 2314, Los Angeles County, California","ca","150","00","ACSSF","0016053",,,,,"06","037",,,,"231400","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,507,224,283
"060372314002","15000US060372314002","Block Group 2, Census Tract 2314, Los Angeles County, California","Block Group 2, Census Tract 2314, Los Angeles County, California","ca","150","00","ACSSF","0016054",,,,,"06","037",,,,"231400","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414,153,261
"060372314003","15000US060372314003","Block Group 3, Census Tract 2314, Los Angeles County, California","Block Group 3, Census Tract 2314, Los Angeles County, California","ca","150","00","ACSSF","0016055",,,,,"06","037",,,,"231400","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448,234,214
"060372315002","15000US060372315002","Block Group 2, Census Tract 2315, Los Angeles County, California","Block Group 2, Census Tract 2315, Los Angeles County, California","ca","150","00","ACSSF","0016057",,,,,"06","037",,,,"231500","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459,342,117
"060372315003","15000US060372315003","Block Group 3, Census Tract 2315, Los Angeles County, California","Block Group 3, Census Tract 2315, Los Angeles County, California","ca","150","00","ACSSF","0016058",,,,,"06","037",,,,"231500","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410,281,129
"060372340001","15000US060372340001","Block Group 1, Census Tract 2340, Los Angeles County, California","Block Group 1, Census Tract 2340, Los Angeles County, California","ca","150","00","ACSSF","0016103",,,,,"06","037",,,,"234000","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,766,475,291
"060372340002","15000US060372340002","Block Group 2, Census Tract 2340, Los Angeles County, California","Block Group 2, Census Tract 2340, Los Angeles County, California","ca","150","00","ACSSF","0016104",,,,,"06","037",,,,"234000","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262,222,40
"060372340003","15000US060372340003","Block Group 3, Census Tract 2340, Los Angeles County, California","Block Group 3, Census Tract 2340, Los Angeles County, California","ca","150","00","ACSSF","0016105",,,,,"06","037",,,,"234000","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238,211,27
"060372340004","15000US060372340004","Block Group 4, Census Tract 2340, Los Angeles County, California","Block Group 4, Census Tract 2340, Los Angeles County, California","ca","150","00","ACSSF","0016106",,,,,"06","037",,,,"234000","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411,166,245
"060372340005","15000US060372340005","Block Group 5, Census Tract 2340, Los Angeles County, California","Block Group 5, Census Tract 2340, Los Angeles County, California","ca","150","00","ACSSF","0016107",,,,,"06","037",,,,"234000","5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327,164,163
"060372342001","15000US060372342001","Block Group 1, Census Tract 2342, Los Angeles County, California","Block Group 1, Census Tract 2342, Los Angeles County, California","ca","150","00","ACSSF","0016108",,,,,"06","037",,,,"234200","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390,291,99
"060372342002","15000US060372342002","Block Group 2, Census Tract 2342, Los Angeles County, California","Block Group 2, Census Tract 2342, Los Angeles County, California","ca","150","00","ACSSF","0016109",,,,,"06","037",,,,"234200","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263,144,119
"060372342003","15000US060372342003","Block Group 3, Census Tract 2342, Los Angeles County, California","Block Group 3, Census Tract 2342, Los Angeles County, California","ca","150","00","ACSSF","0016110",,,,,"06","037",,,,"234200","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445,212,233
"060372343001","15000US060372343001","Block Group 1, Census Tract 2343, Los Angeles County, California","Block Group 1, Census Tract 2343, Los Angeles County, California","ca","150","00","ACSSF","0016111",,,,,"06","037",,,,"234300","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,854,138,716
"060372343002","15000US060372343002","Block Group 2, Census Tract 2343, Los Angeles County, California","Block Group 2, Census Tract 2343, Los Angeles County, California","ca","150","00","ACSSF","0016112",,,,,"06","037",,,,"234300","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424,84,340
"060372343003","15000US060372343003","Block Group 3, Census Tract 2343, Los Angeles County, California","Block Group 3, Census Tract 2343, Los Angeles County, California","ca","150","00","ACSSF","0016113",,,,,"06","037",,,,"234300","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423,32,391
"060372343004","15000US060372343004","Block Group 4, Census Tract 2343, Los Angeles County, California","Block Group 4, Census Tract 2343, Los Angeles County, California","ca","150","00","ACSSF","0016114",,,,,"06","037",,,,"234300","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550,128,422
